a || 23.11 | 17.89 | 0.6598 | 2.609 | 0.527 | 3.017 | 0.02473 | 0.006753 | 0.01469 | 0.0002103 | 177.2 | 43.89 | 43.89 | 0.05769 | 0.1731 | 0.1696 | 0.1049 | 0.1434 | 0.06818 | 0.1923 | 0.09615 | 0.08916 | 
a || 22.84 | 16.53 | 0.5794 | 2.418 | 0.2379 | 4.193 | 0.008136 | -0.00122 | 0.002252 | 0.0008782 | 153.3 | 28.08 | 28.08 | 0.06844 | 0.2205 | 0.05894 | 0.1198 | 0.1863 | 0.06084 | 0.2015 | 0.1255 | 0.06084 | 
a || 24.9 | 15.38 | 0.7203 | 2.428 | 0.7236 | 3.741 | 0.009426 | -0.0006272 | -0.006035 | -0.001655 | 171.5 | 35.44 | 35.44 | 0.03786 | 0.2339 | 0.06459 | 0.1604 | 0.1693 | 0.07127 | 0.1826 | 0.1292 | 0.08463 | 
a || 22.93 | 18.26 | 0.6431 | 2.661 | 0.4815 | 3.028 | 0.1008 | 0.05375 | 0.04999 | -0.01461 | 172.0 | 41.84 | 41.84 | 0.04891 | 0.1938 | 0.1286 | 0.1341 | 0.09058 | 0.1504 | 0.1576 | 0.1196 | 0.08877 | 
a || 23.85 | 19.01 | 0.7558 | 2.758 | 1.216 | 3.551 | 0.03974 | 0.0136 | 0.007126 | 0.006167 | 186.5 | 65.68 | 65.68 | 0.007505 | 0.1501 | 0.1463 | 0.1238 | 0.09006 | 0.1051 | 0.1801 | 0.1576 | 0.1295 | 
a || 25.6 | 25.46 | 0.7884 | 2.361 | 1.134 | 4.186 | 0.407 | -0.5267 | -0.404 | -0.06892 | 145.5 | 68.75 | 68.75 | 0.0 | 0.06544 | 0.146 | 0.08221 | 0.1141 | 0.1611 | 0.2181 | 0.1493 | 0.1443 | 
a || 25.45 | 20.86 | 0.8143 | 2.655 | 1.733 | 4.738 | 1.102 | 1.531 | 0.3349 | 2.001 | 188.9 | 63.38 | 63.38 | 0.0 | 0.1142 | 0.1621 | 0.02947 | 0.04972 | 0.1215 | 0.1805 | 0.2541 | 0.1713 | 
a || 27.2 | 20.76 | 0.8305 | 2.808 | 2.185 | 5.534 | 1.747 | 3.626 | 0.9445 | 4.048 | 216.2 | 69.19 | 69.19 | 0.0 | 0.1149 | 0.1452 | 0.0121 | 0.03024 | 0.1371 | 0.1976 | 0.2883 | 0.1532 | 
a || 26.59 | 23.4 | 0.7381 | 2.788 | 1.09 | 4.785 | 0.9778 | 0.4329 | -0.2778 | 2.07 | 209.1 | 61.87 | 61.87 | 0.0 | 0.1479 | 0.1405 | 0.04806 | 0.05915 | 0.1035 | 0.183 | 0.1959 | 0.183 | 
a || 26.28 | 26.65 | 0.6847 | 2.692 | 0.6796 | 2.967 | 0.7997 | 0.314 | -0.1065 | 1.191 | 217.9 | 55.27 | 55.27 | 0.03093 | 0.1237 | 0.1605 | 0.05449 | 0.0486 | 0.1178 | 0.1605 | 0.1782 | 0.1973 | 
