1.0 || 1.106 | 0.6851 | 0.6598 | 2.609 | 0.527 | 3.017 | 0.02473 | 0.006753 | 0.01469 | 0.0002103 | 177.2 | 43.89 | 43.89 | 
1.0 || 1.112 | 0.6655 | 0.5794 | 2.418 | 0.2379 | 4.193 | 0.008136 | -0.00122 | 0.002252 | 0.0008782 | 153.3 | 28.08 | 28.08 | 
1.0 || 1.165 | 0.5936 | 0.7203 | 2.428 | 0.7236 | 3.741 | 0.009426 | -0.0006272 | -0.006035 | -0.001655 | 171.5 | 35.44 | 35.44 | 
1.0 || 1.03 | 0.7041 | 0.6431 | 2.661 | 0.4815 | 3.028 | 0.1008 | 0.05375 | 0.04999 | -0.01461 | 172.0 | 41.84 | 41.84 | 
1.0 || 0.9936 | 0.7078 | 0.7558 | 2.758 | 1.216 | 3.551 | 0.03974 | 0.0136 | 0.007126 | 0.006167 | 186.5 | 65.68 | 65.68 | 
1.0 || 0.9674 | 0.8903 | 0.7884 | 2.361 | 1.134 | 4.186 | 0.407 | -0.5267 | -0.404 | -0.06892 | 145.5 | 68.75 | 68.75 | 
1.0 || 0.9136 | 0.7331 | 0.8143 | 2.655 | 1.733 | 4.738 | 1.102 | 1.531 | 0.3349 | 2.001 | 188.9 | 63.38 | 63.38 | 
1.0 || 0.9797 | 0.7363 | 0.8305 | 2.808 | 2.185 | 5.534 | 1.747 | 3.626 | 0.9445 | 4.048 | 216.2 | 69.19 | 69.19 | 
1.0 || 0.9705 | 0.7907 | 0.7381 | 2.788 | 1.09 | 4.785 | 0.9778 | 0.4329 | -0.2778 | 2.07 | 209.1 | 61.87 | 61.87 | 
1.0 || 0.986 | 0.9424 | 0.6847 | 2.692 | 0.6796 | 2.967 | 0.7997 | 0.314 | -0.1065 | 1.191 | 217.9 | 55.27 | 55.27 | 
2.0 || 1.372 | 0.2972 | 0.8801 | 2.257 | 2.036 | 7.276 | 2.433 | 9.95 | 3.452 | -2.406 | 167.5 | 3.632 | 3.632 | 
2.0 || 1.435 | 0.2726 | 0.8322 | 2.281 | 1.46 | 6.965 | 2.037 | 6.438 | 2.305 | -4.172 | 166.1 | -19.01 | -19.01 | 
2.0 || 1.444 | 0.258 | 0.8575 | 2.232 | 1.684 | 7.304 | 2.326 | 8.958 | 3.007 | -3.422 | 161.3 | -10.99 | -10.99 | 
2.0 || 1.222 | 0.3091 | 0.911 | 2.347 | 2.771 | 6.971 | 2.105 | 8.061 | 3.429 | 0.1229 | 172.5 | -1.464 | -1.464 | 
2.0 || 1.419 | 0.3813 | 0.8835 | 2.176 | 1.94 | 7.886 | 2.792 | 12.95 | 3.747 | -1.966 | 168.2 | 13.28 | 13.28 | 
2.0 || 1.227 | 0.5086 | 0.8421 | 2.218 | 1.484 | 4.864 | 1.688 | 4.837 | 2.023 | -0.04304 | 156.7 | 18.29 | 18.29 | 
2.0 || 1.08 | 0.3862 | 0.8699 | 2.15 | 1.712 | 5.214 | 1.048 | 2.332 | 1.127 | 0.7473 | 132.8 | 14.47 | 14.47 | 
